f_device,parameter,min_range,max_range,in_range_percent
电机0,amp,0.05,2.17,94.93
电机0,vol,328.75,349.75,94.5
电机0,temp,37.0,41.0,97.18
电机0,rate,1.95,32.0,94.94
电机1,amp,0.0,0.08,97.11
电机1,vol,316.75,335.85,94.52
电机1,temp,39.0,44.0,99.64
电机1,rate,0.95,5.0,97.67
电机10,amp,0.1,0.17,95.41
电机10,vol,323.35,344.25,94.41
电机10,temp,34.0,38.0,96.73
电机10,rate,5.0,6.0,99.18
电机11,amp,0.0,0.16,96.2
电机11,vol,317.15,337.75,94.47
电机11,temp,37.0,41.0,98.48
电机11,rate,0.95,13.05,94.73
电机12,amp,0.0,0.23,99.43
电机12,vol,317.25,338.95,94.44
电机12,temp,37.0,41.0,99.63
电机12,rate,1.95,13.0,94.8
电机14,amp,0.1,2.18,94.88
电机14,vol,314.75,333.15,94.59
电机14,temp,39.0,42.0,95.7
电机14,rate,5.0,29.0,95.09
电机15,amp,0.0,0.04,96.22
电机15,vol,309.85,327.45,94.4
电机15,temp,40.0,44.0,100.0
电机15,rate,0.0,3.0,98.62
电机16,amp,0.01,0.69,96.39
电机16,vol,313.05,334.55,94.45
电机16,temp,40.0,44.0,100.0
电机16,rate,7.0,27.05,95.19
电机17,amp,0.0,0.1,98.8
电机17,vol,320.75,339.85,94.49
电机17,temp,44.0,48.0,100.0
电机17,rate,1.95,3.0,96.95
电机18,amp,0.0,0.34,97.29
电机18,vol,305.05,324.35,94.4
电机18,temp,40.0,44.0,98.81
电机18,rate,1.95,27.05,95.29
电机19,amp,0.0,0.29,95.77
电机19,vol,318.15,336.25,94.56
电机19,temp,37.0,40.0,100.0
电机19,rate,0.0,5.05,96.95
电机2,amp,0.0,0.72,96.17
电机2,vol,323.45,343.95,94.49
电机2,temp,36.0,40.0,99.8
电机2,rate,6.0,28.05,97.08
电机20,amp,0.18,0.92,95.49
电机20,vol,313.55,347.55,94.47
电机20,temp,37.0,39.0,96.06
电机20,rate,16.95,32.0,94.91
电机21,amp,0.0,0.16,99.22
电机21,vol,312.15,332.65,94.45
电机21,temp,37.0,40.0,100.0
电机21,rate,0.95,5.0,99.05
电机22,amp,0.0,0.27,96.78
电机22,vol,311.95,332.75,94.44
电机22,temp,42.0,45.0,96.35
电机22,rate,0.95,6.05,98.46
电机23,amp,0.23,1.18,95.15
电机23,vol,314.95,341.65,94.51
电机23,temp,38.0,47.0,100.0
电机23,rate,18.95,26.05,95.65
电机24,amp,0.01,0.14,98.62
电机24,vol,314.05,334.45,94.37
电机24,temp,38.0,41.0,98.83
电机24,rate,4.0,5.0,97.56
电机25,amp,0.0,0.07,99.16
电机25,vol,306.05,325.55,94.48
电机25,temp,40.0,44.0,100.0
电机25,rate,0.95,3.0,98.08
电机26,amp,0.0,0.26,99.25
电机26,vol,308.15,327.15,94.46
电机26,temp,42.0,45.0,98.07
电机26,rate,6.0,16.05,95.58
电机28,amp,0.0,0.59,97.42
电机28,vol,322.85,346.95,94.5
电机28,temp,35.0,38.0,99.18
电机28,rate,0.95,11.05,97.73
电机29,amp,0.45,1.98,95.04
电机29,vol,332.05,384.4,94.83
电机29,temp,30.95,33.0,97.29
电机29,rate,13.95,24.05,96.77
电机3,amp,0.05,0.11,97.73
电机3,vol,322.15,341.85,94.48
电机3,temp,33.0,37.0,99.1
电机3,rate,3.0,4.0,99.91
电机4,amp,0.0,0.42,97.49
电机4,vol,316.75,336.25,94.45
电机4,temp,39.0,43.0,98.12
电机4,rate,3.0,36.0,95.14
电机5,amp,0.0,0.32,96.9
电机5,vol,322.15,340.65,94.55
电机5,temp,37.0,41.0,98.51
电机5,rate,0.95,8.05,95.17
电机6,amp,0.25,1.13,95.1
电机6,vol,315.55,369.35,94.54
电机6,temp,37.0,41.0,94.87
电机6,rate,16.95,36.0,95.48
电机7,amp,0.0,0.11,98.61
电机7,vol,321.25,339.55,94.54
电机7,temp,33.0,38.0,100.0
电机7,rate,1.95,5.0,99.06
电机8,amp,0.0,0.34,96.97
电机8,vol,320.55,342.25,94.45
电机8,temp,34.0,38.0,97.36
电机8,rate,1.95,7.05,97.11
电机9,amp,0.1,0.83,95.79
电机9,vol,318.85,343.85,94.51
电机9,temp,35.0,39.0,99.21
电机9,rate,13.95,25.05,95.21
