f_device,parameter,min_range,max_range,in_range_percent
电机0,amp,0.05,2.22,95.01
电机0,vol,329.05,350.35,95.01
电机0,temp,37.0,42.0,98.63
电机0,rate,1.95,31.0,95.05
电机1,amp,0.0,0.08,97.05
电机1,vol,317.05,337.25,95.02
电机1,temp,39.0,44.0,99.44
电机1,rate,0.95,5.0,97.66
电机10,amp,0.1,0.17,95.43
电机10,vol,323.65,344.35,95.0
电机10,temp,34.0,38.0,97.74
电机10,rate,5.0,6.0,99.23
电机11,amp,0.0,0.16,97.04
电机11,vol,317.45,337.65,95.01
电机11,temp,37.0,42.0,100.0
电机11,rate,0.95,12.05,95.04
电机12,amp,0.0,0.23,99.44
电机12,vol,317.55,338.35,95.01
电机12,temp,37.0,42.0,100.0
电机12,rate,1.95,13.0,95.98
电机14,amp,0.05,1.63,95.14
电机14,vol,315.05,335.95,95.01
电机14,temp,39.0,43.0,96.98
电机14,rate,5.0,30.0,95.09
电机15,amp,0.0,0.04,96.5
电机15,vol,310.15,329.45,95.01
电机15,temp,40.0,44.0,98.7
电机15,rate,0.0,3.0,98.89
电机16,amp,0.01,0.69,96.6
电机16,vol,313.25,333.75,95.02
电机16,temp,40.0,44.0,97.58
电机16,rate,7.0,27.05,95.6
电机17,amp,0.0,0.1,98.93
电机17,vol,321.05,341.95,95.01
电机17,temp,45.0,48.0,95.35
电机17,rate,1.95,3.0,97.35
电机18,amp,0.0,0.34,97.15
电机18,vol,305.35,325.65,95.01
电机18,temp,40.0,44.0,99.17
电机18,rate,1.95,27.05,95.34
电机19,amp,0.0,0.29,96.02
电机19,vol,318.45,338.15,95.01
电机19,temp,37.0,40.0,98.83
电机19,rate,0.0,5.05,97.08
电机2,amp,0.0,0.72,96.25
电机2,vol,323.75,344.55,95.01
电机2,temp,36.0,40.0,96.76
电机2,rate,6.0,27.05,95.22
电机20,amp,0.18,0.94,95.56
电机20,vol,313.95,352.85,95.0
电机20,temp,37.0,40.0,96.92
电机20,rate,16.95,32.0,95.56
电机21,amp,0.0,0.16,99.21
电机21,vol,312.35,332.05,95.02
电机21,temp,37.0,40.0,97.98
电机21,rate,0.95,5.0,99.25
电机22,amp,0.0,0.24,95.75
电机22,vol,312.25,334.05,95.01
电机22,temp,42.0,46.0,95.13
电机22,rate,0.95,6.05,98.55
电机23,amp,0.22,1.18,95.13
电机23,vol,315.25,344.95,95.0
电机23,temp,38.0,49.0,100.0
电机23,rate,18.95,26.05,95.42
电机24,amp,0.01,0.14,98.76
电机24,vol,314.35,334.15,95.01
电机24,temp,38.0,42.0,95.49
电机24,rate,4.0,5.0,97.53
电机25,amp,0.0,0.07,99.21
电机25,vol,306.25,325.05,95.01
电机25,temp,41.0,45.0,95.83
电机25,rate,0.95,3.0,98.26
电机26,amp,0.0,0.26,99.25
电机26,vol,308.35,327.55,95.01
电机26,temp,42.0,46.0,98.62
电机26,rate,5.0,15.05,96.47
电机28,amp,0.0,0.59,96.06
电机28,vol,323.15,344.65,95.0
电机28,temp,35.0,38.0,98.93
电机28,rate,0.95,11.05,96.36
电机29,amp,0.5,3.68,95.03
电机29,vol,332.75,384.5,95.03
电机29,temp,30.95,34.0,98.01
电机29,rate,13.95,24.05,97.26
电机3,amp,0.05,0.09,96.61
电机3,vol,322.45,342.85,95.0
电机3,temp,33.0,38.0,99.99
电机3,rate,3.0,4.0,99.92
电机4,amp,0.0,0.44,97.93
电机4,vol,317.05,336.25,95.01
电机4,temp,39.0,44.0,98.67
电机4,rate,3.0,36.0,95.0
电机5,amp,0.0,0.32,97.03
电机5,vol,322.45,342.25,95.0
电机5,temp,37.0,42.0,100.0
电机5,rate,0.95,8.05,95.96
电机6,amp,0.25,1.18,95.45
电机6,vol,315.85,371.65,95.0
电机6,temp,37.0,42.0,99.99
电机6,rate,16.95,36.0,95.27
电机7,amp,0.0,0.11,98.6
电机7,vol,321.55,343.45,95.0
电机7,temp,33.0,38.0,100.0
电机7,rate,1.95,5.0,97.67
电机8,amp,0.0,0.34,97.16
电机8,vol,320.75,340.45,95.0
电机8,temp,34.0,38.0,98.04
电机8,rate,1.95,7.05,95.52
电机9,amp,0.1,0.83,95.67
电机9,vol,319.15,345.55,95.01
电机9,temp,35.0,39.0,97.51
电机9,rate,13.95,25.05,95.23
