f_device,final_min_amp,final_max_amp,final_min_vol,final_max_vol,final_min_temp,final_max_temp,final_min_rate,final_max_rate
电机0,0.05,2.22,328.75,348.15,37.0,41.0,1.95,32.0
电机1,0.0,0.08,316.85,339.15,39.0,44.0,0.95,5.0
电机10,0.1,0.21,323.35,342.95,34.0,38.0,5.0,6.0
电机11,0.0,0.16,317.15,336.05,37.0,41.0,0.95,13.05
电机12,0.0,0.23,317.25,336.45,37.0,41.0,1.95,13.0
电机14,0.1,2.13,314.85,337.05,39.0,42.0,5.0,29.0
电机15,0.0,0.04,309.95,328.45,40.0,44.0,0.0,3.0
电机16,0.01,0.69,313.05,333.05,40.0,44.0,7.0,27.05
电机17,0.0,0.1,320.85,342.35,44.0,48.0,1.95,3.0
电机18,0.0,0.34,305.05,323.05,40.0,44.0,1.95,27.05
电机19,0.0,0.29,318.25,337.45,37.0,40.0,0.0,5.05
电机2,0.0,0.72,323.45,342.85,36.0,40.0,6.0,28.05
电机20,0.18,0.92,313.65,351.05,37.0,39.0,16.95,32.0
电机21,0.0,0.16,312.15,330.45,37.0,40.0,0.95,5.0
电机22,0.0,0.27,311.95,330.95,42.0,45.0,0.95,6.0
电机23,0.23,1.18,314.95,340.15,38.0,47.0,18.95,26.05
电机24,0.01,0.14,314.15,335.75,38.0,41.0,4.0,5.0
电机25,0.0,0.07,306.05,324.05,40.0,44.0,0.95,3.0
电机26,0.0,0.26,308.15,326.15,42.0,45.0,6.0,16.05
电机28,0.0,0.59,322.85,344.95,35.0,38.0,0.95,11.05
电机29,0.45,2.03,332.15,384.5,30.95,33.0,13.95,24.05
电机3,0.05,0.11,322.15,340.75,33.0,37.0,3.0,4.0
电机4,0.0,0.42,316.75,334.95,39.0,43.0,3.0,36.0
电机5,0.0,0.32,322.25,342.65,37.0,41.0,0.95,8.05
电机6,0.25,1.13,315.65,371.25,37.0,41.0,16.95,36.0
电机7,0.0,0.11,321.35,342.95,33.0,38.0,1.95,5.0
电机8,0.0,0.34,320.55,340.45,34.0,38.0,1.95,7.05
电机9,0.1,0.83,318.95,346.85,35.0,39.0,13.95,25.05
