f_device,final_min_amp,final_max_amp,final_min_vol,final_max_vol,final_min_temp,final_max_temp,final_min_rate,final_max_rate
电机0,0.05,2.22,329.05,350.35,37.0,42.0,1.95,31.0
电机1,0.0,0.08,317.05,337.25,39.0,44.0,0.95,5.0
电机10,0.1,0.17,323.65,344.35,34.0,38.0,5.0,6.0
电机11,0.0,0.16,317.45,337.65,37.0,42.0,0.95,12.05
电机12,0.0,0.23,317.55,338.35,37.0,42.0,1.95,13.0
电机14,0.05,1.63,315.05,335.95,39.0,43.0,5.0,30.0
电机15,0.0,0.04,310.15,329.45,40.0,44.0,0.0,3.0
电机16,0.01,0.69,313.25,333.75,40.0,44.0,7.0,27.05
电机17,0.0,0.1,321.05,341.95,45.0,48.0,1.95,3.0
电机18,0.0,0.34,305.35,325.65,40.0,44.0,1.95,27.05
电机19,0.0,0.29,318.45,338.15,37.0,40.0,0.0,5.05
电机2,0.0,0.72,323.75,344.55,36.0,40.0,6.0,27.05
电机20,0.18,0.94,313.95,352.85,37.0,40.0,16.95,32.0
电机21,0.0,0.16,312.35,332.05,37.0,40.0,0.95,5.0
电机22,0.0,0.24,312.25,334.05,42.0,46.0,0.95,6.05
电机23,0.22,1.18,315.25,344.95,38.0,49.0,18.95,26.05
电机24,0.01,0.14,314.35,334.15,38.0,42.0,4.0,5.0
电机25,0.0,0.07,306.25,325.05,41.0,45.0,0.95,3.0
电机26,0.0,0.26,308.35,327.55,42.0,46.0,5.0,15.05
电机28,0.0,0.59,323.15,344.65,35.0,38.0,0.95,11.05
电机29,0.5,3.68,332.75,384.5,30.95,34.0,13.95,24.05
电机3,0.05,0.09,322.45,342.85,33.0,38.0,3.0,4.0
电机4,0.0,0.44,317.05,336.25,39.0,44.0,3.0,36.0
电机5,0.0,0.32,322.45,342.25,37.0,42.0,0.95,8.05
电机6,0.25,1.18,315.85,371.65,37.0,42.0,16.95,36.0
电机7,0.0,0.11,321.55,343.45,33.0,38.0,1.95,5.0
电机8,0.0,0.34,320.75,340.45,34.0,38.0,1.95,7.05
电机9,0.1,0.83,319.15,345.55,35.0,39.0,13.95,25.05
